Teams
Chaos Ultimate,Triple Mamasitas,9,10
Helsinki Ultimate Team,Ultimate Dragons,15,2
Mantis,Enraladas,6,11
Gentleladies,Slovak women national team,14,5
Mainzelm„dchen,Southwest,15,4
Flying Angels Berne - FABulous,Dublin Gravity,10,12
Atletico,Troubles,14,12
YAKA,Czech Women,15,7
Southwest,Ultimate Dragons,11,6
Czech Women,Slovak women national team,15,5
Flying Angels Berne - FABulous,Mantis,15,10
Chaos Ultimate,Troubles,3,15
Atletico,Triple Mamasitas,14,5
Enraladas,Dublin Gravity,13,14
Gentleladies,YAKA,9,15
Helsinki Ultimate Team,Mainzelm„dchen,9,14
Ultimate Dragons,Slovak women national team,13,14
Mantis,Chaos Ultimate,15,4
Southwest,Triple Mamasitas,15,4
Flying Angels Berne - FABulous,Czech Women,15,13
Enraladas,Gentleladies,9,15
Troubles,Dublin Gravity,15,9
Atletico,Helsinki Ultimate Team,15,8
Mainzelm„dchen,YAKA,4,15
