Team 1,Team 2,Score 1,Score 2
The Restarts,Nepredvidljivi,17,5
Nuclear discs,VertiHo,8,7
The Restarts,VertiHo,16,3
Nuclear discs,Nepredvidljivi,18,7
Nuclear discs,The Restarts,7,12
VertiHo,Nepredvidljivi,7,9
Nepredvidljivi,Valovčki 1,8,13
Nepredvidljivi,Freeze me,7,8
Valovčki 1,Freeze me,14,7
Valovčki 1,Vertigo,10,6
Freeze me,The Restarts,4,16
Ptujska Legija,Valovčki 1,10,7
Tim Vid,The Restarts,9,13
Don Keys,Freeze me,11,8
Valovčki 1,Tim Vid,10,7
Vertigo,Ptujska Legija JR,3,5
Freeze me,Ptujska Legija JR,11,6
Don Keys,Vertigo,6,7
Freeze me,Vertigo,5,8
Freeze me,Don Keys,8,11
Don Keys,Ptujska Legija JR,9,6
VertiHo,Ptujska Legija JR,4,5
Ptujska Legija JR,Vevrce,2,18
Ptujska Legija,Don Keys,13,7
Nepredvidljivi,Ptujska Legija JR,12,4
VertiHo,Vevrce,6,7
Nepredvidljivi,Vevrce,4,15
Nepredvidljivi,VertiHo,9,8
Ptujska Legija,The Restarts,14,9
Tim Vid,Valovčki 1,9,8
Vevrce,Ptujska Legija,10,12
Tim Vid,Ptujska Legija,7,11
Vevrce,Valovčki 1,9,11
Vevrce,Tim Vid,7,13
Ptujska Legija,Valovčki 1,10,7
Nuclear discs,Tim Vid,11,13
Vertigo,Don Keys,12,8
Freeze me,Nuclear discs,7,8
Vertigo,Nuclear discs,10,8
Tim Vid,Don Keys,12,8
Ptujska Legija,Valovčki 2,7,12
Žabarji,Tim Vid,8,13
Don Keys,Ptujska Legija,9,8
Valovčki 2,Žabarji,12,9
Valovčki 2,Don Keys,8,6
Tim Vid,Ptujska Legija,11,10
Žabarji,Ptujska Legija,6,10
Vevrce,Freeze me,7,8
Valovčki 1,Ritopiki,9,11
Tim Vid,Freeze me,9,6
Valovčki 1,Freeze me,9,7
Freeze me,Valovčki 2,5,10
Valovčki 1,Don Keys,8,7
Vevrce,Nepredvidljivi,11,7
Valovčki 1,Vertigo,8,12
Vevrce,Valovčki 1,8,11
Nepredvidljivi,Vertigo,5,14
Vertigo,Vevrce,10,8
Valovčki 1,Nepredvidljivi,14,5
Žabarji,Don Keys,3,9
Ptujska Legija,Nepredvidljivi,12,9
Vertigo,Don Keys,14,11
Ptujska Legija,EJ Ekipa,13,9
Vertigo,The Restarts,9,8
Ptujska Legija,Vevrce,8,9
The Restarts,Tim Vid,12,8
Vertigo,Ritopiki,7,13
EJ Ekipa,The Restarts,3,10
Ritopiki,Freeze me,14,5
EJ Ekipa,Ritopiki,2,14
The Restarts,Freeze me,15,8
Ritopiki,The Restarts,11,8
EJ Ekipa,Freeze me,8,9
Tim Vid,Valovčki 2,7,9
EJ Ekipa,Žabarji,11,9
Valovčki 2,The Restarts,6,14
Valovčki 2,Don Keys,7,11
Nepredvidljivi,Žabarji,7,8
Ritopiki,Tim Vid,13,8
